lsl_timestamp,TP9,AF7,AF8,TP10,Right AUX
86439.289039666,-20.5078125,-35.15625,-32.71484375,-25.390625,0.0
86439.26639175,-37.109375,-36.62109375,-30.76171875,-16.6015625,0.0
86439.270298,-29.78515625,-34.1796875,-28.80859375,-23.4375,0.0
86439.27420425,-13.18359375,-33.69140625,-28.80859375,-30.76171875,0.0
86439.2781105,-24.90234375,-41.015625,-36.62109375,-28.3203125,0.0
86439.28201675,-59.5703125,-42.48046875,-46.875,-29.296875,0.0
86439.285923,-65.91796875,-35.64453125,-58.10546875,-55.6640625,0.0
86439.28982925,-38.0859375,-33.203125,-51.26953125,-54.19921875,0.0
86439.2937355,-23.92578125,-36.62109375,-45.8984375,-23.4375,0.0
86439.29764175,-53.7109375,-34.1796875,-42.48046875,-7.8125,0.0
86439.301548,-79.1015625,-27.34375,-30.76171875,-26.85546875,0.0
86439.30545425,-40.0390625,-31.73828125,-22.94921875,-40.0390625,0.0
86439.3093605,-14.6484375,-41.50390625,-25.390625,-32.71484375,0.0
86439.349151583,-17.08984375,-40.0390625,-36.62109375,-30.2734375,0.0
86439.353057833,-41.50390625,-32.71484375,-46.875,-39.55078125,0.0
86439.342981583,-50.78125,-27.34375,-47.8515625,-41.50390625,0.0
86439.346887833,-37.109375,-26.3671875,-32.71484375,-38.57421875,0.0
86439.350794083,-29.296875,-23.4375,-32.71484375,-23.4375,0.0
86439.354700333,-46.875,-24.4140625,-53.7109375,-6.8359375,0.0
86439.358606583,-54.6875,-32.71484375,-45.8984375,-21.97265625,0.0
86439.362512833,-41.015625,-42.96875,-29.78515625,-28.80859375,0.0
86439.366419083,-37.59765625,-42.48046875,-33.203125,-22.4609375,0.0
86439.370325333,-44.921875,-27.83203125,-33.69140625,-27.83203125,0.0
86439.374231583,-19.53125,-22.94921875,-36.62109375,-33.203125,0.0
86439.378137833,0.9765625,-29.296875,-50.29296875,-46.38671875,0.0
86439.355348625,-6.8359375,-30.76171875,-48.828125,-43.9453125,0.0
86439.359254875,-39.55078125,-30.2734375,-42.48046875,-36.1328125,0.0
86439.363161125,-62.98828125,-32.2265625,-36.1328125,-43.45703125,0.0
86439.367067375,-27.34375,-37.109375,-38.57421875,-55.6640625,0.0
86439.370973625,-11.71875,-33.203125,-42.48046875,-38.57421875,0.0
86439.374879875,-38.0859375,-29.296875,-36.62109375,-6.34765625,0.0
86439.378786125,-64.94140625,-38.0859375,-37.59765625,-4.8828125,0.0
86439.382692375,-39.55078125,-41.015625,-41.50390625,-31.73828125,0.0
86439.386598625,-10.25390625,-32.2265625,-31.25,-41.9921875,0.0
86439.390504875,-4.39453125,-22.94921875,-24.4140625,-24.90234375,0.0
86439.394411125,-40.52734375,-27.83203125,-34.1796875,-19.53125,0.0
86439.398317375,-52.734375,-36.1328125,-41.015625,-41.9921875,0.0
86439.399682,-28.80859375,-34.1796875,-34.1796875,-50.29296875,0.0
86439.40358825,-23.92578125,-37.109375,-34.1796875,-29.78515625,0.0
86439.4074945,-39.0625,-40.52734375,-45.41015625,-19.04296875,0.0
86439.41140075,-25.87890625,-40.52734375,-43.45703125,-20.99609375,0.0
86439.415307,-15.13671875,-32.2265625,-33.203125,-25.87890625,0.0
86439.41921325,-25.87890625,-29.296875,-38.57421875,-23.92578125,0.0
86439.4231195,-31.25,-34.66796875,-36.62109375,-16.11328125,0.0
86439.42702575,-41.50390625,-30.2734375,-25.87890625,-9.765625,0.0
86439.430932,-24.4140625,-35.15625,-29.296875,-23.4375,0.0
86439.43483825,-21.484375,-39.0625,-32.2265625,-36.62109375,0.0
86439.4387445,-28.80859375,-32.71484375,-36.62109375,-20.5078125,0.0
86439.44265075,-57.6171875,-35.15625,-41.9921875,-11.71875,0.0
86439.467722791,-48.33984375,-33.203125,-39.55078125,-34.1796875,0.0
86439.471629041,-22.94921875,-25.390625,-46.38671875,-32.71484375,0.0
86439.475535291,-20.99609375,-30.2734375,-53.7109375,-15.13671875,0.0
86439.479441541,-44.43359375,-36.62109375,-47.8515625,-29.296875,0.0
86439.483347791,-48.33984375,-36.62109375,-51.26953125,-50.29296875,0.0
86439.487254041,-19.53125,-45.41015625,-49.31640625,-33.69140625,0.0
86439.491160291,5.37109375,-43.9453125,-28.80859375,4.8828125,0.0
86439.495066541,-9.27734375,-40.52734375,-29.78515625,0.48828125,0.0
86439.498972791,-30.76171875,-40.0390625,-43.45703125,-41.50390625,0.0
86439.502879041,-11.71875,-30.2734375,-41.015625,-53.7109375,0.0
86439.506785291,-22.94921875,-34.1796875,-36.1328125,-31.73828125,0.0
86439.510691541,-57.12890625,-39.0625,-39.55078125,-20.01953125,0.0
86439.5150465,-75.68359375,-41.50390625,-49.8046875,-22.4609375,0.0
86439.51895275,-57.6171875,-44.43359375,-51.26953125,-21.484375,0.0
86439.522859,-34.66796875,-36.1328125,-47.36328125,-23.92578125,0.0
86439.52676525,-26.85546875,-30.76171875,-44.43359375,-27.34375,0.0
86439.5306715,-29.296875,-35.15625,-37.59765625,-31.73828125,0.0
86439.53457775,4.8828125,-35.64453125,-41.015625,-43.45703125,0.0
86439.538484,33.203125,-33.69140625,-42.96875,-47.8515625,0.0
86439.54239025,7.8125,-26.85546875,-36.62109375,-33.203125,0.0
86439.5462965,-45.8984375,-27.83203125,-37.109375,-21.484375,0.0
86439.55020275,-56.640625,-33.69140625,-38.0859375,-32.2265625,0.0
86439.554109,-42.96875,-30.76171875,-38.57421875,-36.1328125,0.0
86439.55801525,-33.203125,-28.80859375,-45.41015625,-12.6953125,0.0
86439.603172125,-48.828125,-30.76171875,-53.7109375,-4.39453125,0.0
86439.607078375,-56.640625,-35.64453125,-58.59375,-26.3671875,0.0
86439.596959291,-14.6484375,-35.15625,-45.8984375,-40.0390625,0.0
86439.600865541,-5.37109375,-34.1796875,-34.1796875,-28.80859375,0.0
86439.604771791,-26.85546875,-37.109375,-44.921875,-34.1796875,0.0
86439.608678041,-55.17578125,-46.875,-52.24609375,-39.55078125,0.0
86439.612584291,-38.0859375,-48.828125,-48.828125,-39.55078125,0.0
86439.616490541,-9.765625,-39.0625,-48.828125,-25.390625,0.0
86439.620396791,-35.15625,-39.0625,-47.8515625,-5.859375,0.0
86439.624303041,-74.70703125,-44.43359375,-39.0625,-19.53125,0.0
86439.628209291,-49.31640625,-46.38671875,-33.69140625,-42.96875,0.0
86439.632115541,-26.3671875,-46.38671875,-38.0859375,-31.25,0.0
86439.612533791,-13.18359375,-46.875,-41.9921875,-12.20703125,0.0
86439.616440041,-22.4609375,-42.48046875,-45.8984375,-29.78515625,0.0
86439.620346291,-38.57421875,-33.69140625,-50.29296875,-53.7109375,0.0
86439.624252541,-6.8359375,-26.3671875,-47.8515625,-48.828125,0.0
86439.628158791,-9.765625,-32.2265625,-43.9453125,-27.34375,0.0
86439.632065041,-46.38671875,-43.9453125,-40.0390625,-9.765625,0.0
86439.635971291,-50.78125,-41.9921875,-40.0390625,-24.4140625,0.0
86439.639877541,-16.11328125,-35.64453125,-41.9921875,-29.296875,0.0
86439.643783791,-11.23046875,-36.62109375,-52.24609375,2.44140625,0.0
86439.647690041,-52.24609375,-43.45703125,-46.875,13.18359375,0.0
86439.651596291,-76.66015625,-39.0625,-44.43359375,-14.6484375,0.0
86439.655502541,-36.1328125,-32.71484375,-43.45703125,-41.50390625,0.0
86439.661476666,-22.4609375,-36.62109375,-38.0859375,-52.24609375,0.0
86439.665382916,-26.3671875,-36.1328125,-41.50390625,-50.78125,0.0
86439.669289166,-28.3203125,-32.71484375,-34.66796875,-40.52734375,0.0
86439.673195416,-17.08984375,-39.0625,-33.203125,-42.48046875,0.0
86439.677101666,-9.765625,-40.52734375,-41.015625,-38.0859375,0.0
86439.681007916,-29.296875,-34.66796875,-55.17578125,-8.30078125,0.0
86439.684914166,-49.31640625,-34.1796875,-61.5234375,5.37109375,0.0
86439.688820416,-45.41015625,-38.57421875,-59.5703125,-26.85546875,0.0
86439.692726666,-14.16015625,-37.59765625,-47.8515625,-33.69140625,0.0
86439.696632916,-32.71484375,-34.66796875,-34.66796875,-36.1328125,0.0
86439.700539166,-65.4296875,-41.50390625,-37.59765625,-50.29296875,0.0
86439.704445416,-63.96484375,-37.59765625,-49.8046875,-50.78125,0.0
86439.727820583,-24.4140625,-27.34375,-57.12890625,-51.26953125,0.0
86439.713823583,0.48828125,-31.73828125,-53.7109375,-38.0859375,0.0
86439.717729833,-23.4375,-49.8046875,-68.359375,-31.25,0.0
86439.721636083,-67.3828125,-45.41015625,-71.77734375,-35.64453125,0.0
86439.725542333,-55.6640625,-37.109375,-45.8984375,-39.0625,0.0
86439.729448583,-41.015625,-42.96875,-31.25,-39.0625,0.0
86439.733354833,-33.69140625,-41.9921875,-32.2265625,-22.94921875,0.0
86439.737261083,-40.52734375,-36.1328125,-39.0625,-11.71875,0.0
86439.741167333,-49.8046875,-29.296875,-32.2265625,-19.53125,0.0
86439.745073583,-37.109375,-32.71484375,-33.203125,-34.1796875,0.0
86439.748979833,-13.671875,-36.1328125,-52.24609375,-12.6953125,0.0
