lsl_timestamp,TP9,AF7,AF8,TP10
440788.412977208,2.44140625,-46.875,115.234375,-5.859375
440788.416883458,-20.99609375,-45.8984375,-827.63671875,-6.34765625
440788.420789708,-28.3203125,-34.1796875,-483.88671875,-17.578125
440788.424695958,-2.9296875,-27.34375,352.05078125,-16.11328125
440788.428602208,6.34765625,-32.71484375,370.60546875,-11.23046875
440788.432508458,-12.20703125,-39.55078125,105.95703125,-18.06640625
440788.436414708,-29.78515625,-38.0859375,-75.68359375,-9.765625
440788.418885083,-15.13671875,-36.1328125,172.8515625,-9.765625
440788.422791333,10.7421875,-43.45703125,378.41796875,-25.87890625
440788.426697583,1.953125,-43.45703125,275.390625,-27.83203125
440788.430603833,-25.87890625,-45.8984375,-23.92578125,-22.94921875
440788.434510083,-19.04296875,-43.45703125,-3.90625,-30.76171875
440788.438416333,16.11328125,-28.80859375,128.90625,-23.4375
440788.442322583,14.6484375,-24.90234375,-1.953125,-12.20703125
440788.446228833,-24.4140625,-27.83203125,-250.9765625,-16.6015625
440788.450135083,-26.85546875,-34.66796875,-234.375,-14.16015625
440788.454041333,3.41796875,-41.50390625,-179.6875,-3.41796875
440788.457947583,3.90625,-33.203125,303.22265625,-18.5546875
440788.461853833,-20.5078125,-39.0625,181.640625,-12.6953125
440788.463400375,-27.83203125,-43.45703125,-359.375,4.8828125
440788.467306625,-4.39453125,-34.66796875,-82.51953125,-8.7890625
440788.471212875,18.06640625,-30.2734375,610.83984375,-10.25390625
440788.475119125,6.8359375,-26.3671875,360.3515625,-3.90625
440788.479025375,-24.90234375,-30.2734375,-381.8359375,-8.30078125
440788.482931625,-14.16015625,-35.64453125,-342.28515625,-20.01953125
440788.486837875,15.625,-29.296875,319.82421875,-13.18359375
440788.490744125,-6.34765625,-35.15625,460.9375,-3.41796875
440788.494650375,-42.96875,-42.96875,-440.4296875,-7.8125
440788.498556625,-26.85546875,-35.64453125,-789.55078125,-9.27734375
440788.502462875,11.23046875,-31.73828125,323.2421875,-7.8125
440788.506369125,8.30078125,-37.109375,667.96875,-2.9296875
440788.509945333,-25.390625,-37.109375,-307.6171875,5.859375
440788.513851583,-43.45703125,-30.76171875,-366.2109375,-12.6953125
440788.517757833,-6.8359375,-23.4375,500.9765625,-18.06640625
440788.521664083,18.5546875,-24.90234375,681.15234375,-5.37109375
440788.525570333,-16.11328125,-39.55078125,-18.06640625,-10.25390625
440788.529476583,-34.1796875,-42.96875,-512.20703125,-19.04296875
440788.533382833,-11.71875,-36.62109375,-9.765625,-21.97265625
440788.537289083,7.32421875,-40.0390625,521.97265625,-18.06640625
440788.541195333,-14.6484375,-42.96875,-299.8046875,-19.04296875
440788.545101583,-49.31640625,-28.80859375,-490.234375,-15.13671875
440788.549007833,-33.203125,-21.484375,235.3515625,-15.13671875
440788.552914083,15.625,-26.85546875,538.0859375,-15.625
440788.551712708,5.37109375,-33.203125,172.36328125,-9.27734375
440788.555618958,-35.64453125,-40.0390625,-166.015625,-25.390625
440788.559525208,-35.64453125,-42.48046875,80.078125,-43.9453125
440788.563431458,-5.37109375,-36.1328125,418.45703125,-33.203125
440788.567337708,2.44140625,-32.71484375,240.234375,-14.6484375
440788.571243958,-31.73828125,-33.203125,-278.80859375,-17.578125
440788.575150208,-54.19921875,-34.1796875,-424.8046875,-25.390625
440788.579056458,-18.06640625,-34.1796875,-101.5625,-20.99609375
440788.582962708,2.9296875,-31.73828125,42.96875,-4.39453125
440788.586868958,-27.34375,-27.34375,85.9375,-6.34765625
440788.590775208,-44.921875,-37.59765625,-137.20703125,-22.94921875
440788.594681458,-21.97265625,-46.875,-47.8515625,-14.16015625
440788.597946083,3.41796875,-45.41015625,549.8046875,-1.46484375
440788.601852333,-11.23046875,-46.875,502.44140625,-2.44140625
440788.605758583,-31.73828125,-47.8515625,-264.16015625,-15.625
440788.609664833,-32.2265625,-48.828125,-524.90234375,-12.6953125
440788.613571083,-8.30078125,-37.59765625,334.47265625,-2.9296875
440788.617477333,2.9296875,-35.15625,366.69921875,-11.23046875
440788.621383583,-16.6015625,-38.0859375,-458.49609375,-8.7890625
440788.625289833,-18.5546875,-42.48046875,-854.4921875,-7.8125
