lsl_timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
6939.2555147,-2495453.0,-668019.0,289667.0,10888.0,-1299379.0,-1408013.0,-550317.0,1719720.0,1035107.0,769421.0,-435235.0,349891.0,-505069.0,-702728.0,-3142493.0,968723.0
6939.2555527,-2495538.0,-664237.0,293069.0,14909.0,-1294573.0,-1404275.0,-547885.0,1721133.0,1033720.0,772109.0,-432397.0,353144.0,-501443.0,-699949.0,-3140413.0,969789.0
6939.2555932,-2493741.0,-664861.0,291331.0,11821.0,-1298851.0,-1407805.0,-549811.0,1720605.0,1034557.0,771805.0,-434493.0,349693.0,-506013.0,-704029.0,-3142696.0,969229.0
6939.2563286,-2494168.0,-664568.0,292920.0,13736.0,-1295299.0,-1405064.0,-548840.0,1720365.0,1034067.0,772125.0,-433501.0,352328.0,-502989.0,-700696.0,-3141997.0,968744.0
6939.2563711,-2492088.0,-663368.0,292760.0,12339.0,-1297741.0,-1408136.0,-551448.0,1717427.0,1035864.0,773053.0,-433283.0,351245.0,-505293.0,-703864.0,-3144504.0,966168.0
6939.2564534,-2494141.0,-662883.0,295395.0,16835.0,-1292243.0,-1400525.0,-543699.0,1724856.0,1032136.0,772856.0,-430776.0,355149.0,-499741.0,-696776.0,-3136653.0,973149.0
6939.2564937,-2488568.0,-658435.0,295379.0,15112.0,-1294392.0,-1405005.0,-549645.0,1717800.0,1039032.0,777560.0,-429651.0,354360.0,-500728.0,-699896.0,-3142237.0,967203.0
6939.2565302,-2499192.0,-671000.0,289651.0,12563.0,-1295949.0,-1404664.0,-547832.0,1721880.0,1030696.0,766648.0,-435699.0,351005.0,-502376.0,-700141.0,-3139922.0,970184.0
6939.2565704,-2493506.0,-664552.0,292077.0,12520.0,-1297181.0,-1406808.0,-550669.0,1716979.0,1034461.0,771880.0,-433640.0,350877.0,-504056.0,-702749.0,-3142962.0,965837.0
6939.2566099,-2495997.0,-666515.0,292509.0,15213.0,-1292611.0,-1401085.0,-544061.0,1725053.0,1030536.0,770408.0,-433907.0,352739.0,-499896.0,-697293.0,-3136157.0,973917.0
6939.2572735,-2492765.0,-665309.0,292691.0,13288.0,-1296941.0,-1405832.0,-549880.0,1718371.0,1034136.0,771336.0,-433901.0,351347.0,-502765.0,-700797.0,-3142264.0,967160.0
6939.2586899,-2490056.0,-660877.0,296749.0,17912.0,-1291741.0,-1400563.0,-543725.0,1723368.0,1035603.0,774637.0,-429853.0,354941.0,-498360.0,-695555.0,-3136013.0,972131.0
6939.2587318,-2492882.0,-665987.0,289469.0,9933.0,-1299624.0,-1407048.0,-548440.0,1720061.0,1036088.0,770509.0,-435955.0,348664.0,-505448.0,-701816.0,-3141650.0,968099.0
6939.2587682,-2493853.0,-665336.0,292664.0,13203.0,-1296232.0,-1404264.0,-546712.0,1721144.0,1032963.0,771325.0,-434152.0,350909.0,-502344.0,-700504.0,-3140461.0,969453.0
