lsl_timestamp,wall_time,code,is_target,char_idx,rep
1785789271.4375,1785789271.43613,6,0,1,11
1785789271.6171875,1785789271.61637,4,0,1,12
1785789271.796875,1785789271.795806,5,1,1,12
1785789271.984375,1785789271.976768,11,0,1,12
1785789272.15625,1785789272.155856,3,0,1,12
1785789272.34375,1785789272.336916,12,0,1,12
1785789272.5234375,1785789272.517945,9,0,1,12
1785789272.703125,1785789272.698654,8,0,1,12
1785789272.8828125,1785789272.878657,10,0,1,12
1785789273.0625,1785789273.059646,2,0,1,12
1785789273.2421875,1785789273.239709,7,1,1,12
1785789273.421875,1785789273.41937,1,0,1,12
1785789273.6015625,1785789273.599341,6,0,1,12
1785789273.78125,1785789273.780276,11,0,1,13
1785789273.96875,1785789273.961304,5,1,1,13
1785789274.1484375,1785789274.140694,8,0,1,13
1785789274.3203125,1785789274.320287,1,0,1,13
1785789274.5078125,1785789274.501106,6,0,1,13
1785789274.6875,1785789274.681846,7,1,1,13
1785789274.8671875,1785789274.862689,3,0,1,13
1785789275.046875,1785789275.043748,12,0,1,13
1785789275.2265625,1785789275.224485,4,0,1,13
1785789275.40625,1785789275.405254,9,0,1,13
1785789275.5859375,1785789275.585612,10,0,1,13
1785789275.7734375,1785789275.766086,2,0,1,13
1785789275.953125,1785789275.946995,12,0,1,14
1785789276.1328125,1785789276.127097,3,0,1,14
1785789276.3125,1785789276.307589,6,0,1,14
1785789276.4921875,1785789276.488143,10,0,1,14
1785789276.671875,1785789276.669316,7,1,1,14
1785789276.8515625,1785789276.849535,4,0,1,14
1785789277.03125,1785789277.030061,8,0,1,14
1785789277.21875,1785789277.210979,9,0,1,14
1785789277.3984375,1785789277.391085,11,0,1,14
1785789277.578125,1785789277.571051,5,1,1,14
1785789277.7578125,1785789277.751022,1,0,1,14
1785789277.9375,1785789277.931949,2,0,1,14
1785789278.1171875,1785789278.111761,4,0,1,15
1785789278.296875,1785789278.292557,1,0,1,15
1785789278.4765625,1785789278.473468,12,0,1,15
1785789278.65625,1785789278.654352,5,1,1,15
1785789278.8359375,1785789278.835375,11,0,1,15
1785789279.0234375,1785789279.015857,6,0,1,15
1785789279.203125,1785789279.196442,9,0,1,15
1785789279.3828125,1785789279.377026,8,0,1,15
1785789279.5625,1785789279.557466,2,0,1,15
1785789279.7421875,1785789279.737853,3,0,1,15
1785789279.921875,1785789279.918827,7,1,1,15
1785789280.1015625,1785789280.098914,10,0,1,15
1785789282.796875,1785789282.789638,8,1,2,1
1785789282.9765625,1785789282.970748,2,0,2,1
1785789283.15625,1785789283.150276,11,0,2,1
1785789283.3359375,1785789283.33128,1,0,2,1
1785789283.515625,1785789283.511284,3,0,2,1
1785789283.6953125,1785789283.690877,4,0,2,1
1785789283.875,1785789283.871978,6,1,2,1
1785789284.0546875,1785789284.052549,10,0,2,1
