lsl_timestamp,wall_time,code,is_target,char_idx,rep
1788484930.53125,1788484930.528293,6,0,1,4
1788484930.7109375,1788484930.708299,10,0,1,4
1788484930.890625,1788484930.888778,7,0,1,4
1788484931.0703125,1788484931.069561,12,0,1,4
1788484931.25,1788484931.249474,3,1,1,4
1788484931.4296875,1788484931.429008,11,0,1,4
1788484931.609375,1788484931.609372,1,0,1,4
1788484931.7929688,1788484931.78971,9,1,1,4
1788484931.9726562,1788484931.970209,5,0,1,4
1788484932.1523438,1788484932.151237,4,0,1,4
1788484932.3320312,1788484932.331507,2,0,1,4
1788484932.5117188,1788484932.511083,9,1,1,5
1788484932.6953125,1788484932.691464,12,0,1,5
1788484932.875,1788484932.871904,10,0,1,5
1788484933.0546875,1788484933.051414,4,0,1,5
1788484933.234375,1788484933.230773,1,0,1,5
1788484933.4140625,1788484933.410985,11,0,1,5
1788484933.59375,1788484933.591666,6,0,1,5
1788484933.7734375,1788484933.77209,3,1,1,5
1788484933.953125,1788484933.952276,5,0,1,5
1788484934.1328125,1788484934.131696,2,0,1,5
1788484934.3125,1788484934.312112,7,0,1,5
1788484934.4921875,1788484934.490709,8,0,1,5
1788484934.671875,1788484934.670915,10,0,1,6
1788484934.8515625,1788484934.850472,9,1,1,6
1788484935.03125,1788484935.031184,1,0,1,6
1788484935.2148438,1788484935.211312,8,0,1,6
1788484935.3945312,1788484935.39066,7,0,1,6
1788484935.5742188,1788484935.57069,11,0,1,6
1788484935.7539062,1788484935.751362,6,0,1,6
1788484935.9335938,1788484935.931002,5,0,1,6
1788484936.1132812,1788484936.11031,2,0,1,6
1788484936.2929688,1788484936.290271,12,0,1,6
1788484936.4726562,1788484936.470107,3,1,1,6
1788484936.6523438,1788484936.649356,4,0,1,6
1788484936.8320312,1788484936.828693,1,0,1,7
1788484937.0117188,1788484937.008828,10,0,1,7
1788484937.1914062,1788484937.189073,8,0,1,7
1788484937.3710938,1788484937.36971,11,0,1,7
1788484937.5507812,1788484937.549478,5,0,1,7
1788484937.7304688,1788484937.729339,4,0,1,7
1788484937.9101562,1788484937.908535,6,0,1,7
1788484938.0898438,1788484938.089511,9,1,1,7
1788484938.2695312,1788484938.267528,2,0,1,7
